STT,Mã học sinh,Họ và Tên,Lớp,Ngày sinh,HK,ĐĐGtx1,ĐĐGtx2,ĐĐGtx3,ĐĐGtx4,ĐĐGgk,ĐĐGck,"ĐTB 
mhk",Năm học,Môn,Học lực
1,2502151082,Võ Thanh Trung,6A1,05/02/2010,1,3,3,3,6,4.0,2.4,3.4,2022,Toán,Kém
2,2502151082,Võ Thanh Trung,6A1,05/02/2010,1,3,5,4,4,3.3,2.2,3.2,2022,Lý,Kém
3,2502151082,Võ Thanh Trung,6A1,05/02/2010,1,7,5,7,6,6.3,6.0,6.2,2022,Hóa,Trung bình
4,2502151082,Võ Thanh Trung,6A1,05/02/2010,1,5,7,5,7,5.6,7.3,6.3,2022,Anh,Trung bình
5,2502151084,Đỗ Đức Khánh,6A1,24/06/2010,1,9,9,10,8,9.0,8.6,8.9,2022,Toán,Giỏi
6,2502151084,Đỗ Đức Khánh,6A1,24/06/2010,1,10,8,9,8,9.9,9.9,9.4,2022,Lý,Giỏi
7,2502151084,Đỗ Đức Khánh,6A1,24/06/2010,1,8,10,8,9,8.8,9.8,9.1,2022,Hóa,Giỏi
8,2502151084,Đỗ Đức Khánh,6A1,24/06/2010,1,8,8,9,8,9.4,8.6,8.6,2022,Anh,Giỏi
9,2502151086,Vũ Tấn Khang,6A1,19/07/2010,1,6,5,6,6,5.6,5.9,5.8,2022,Toán,Trung bình
10,2502151086,Vũ Tấn Khang,6A1,19/07/2010,1,5,8,6,8,6.4,6.2,6.5,2022,Lý,Khá
11,2502151086,Vũ Tấn Khang,6A1,19/07/2010,1,5,5,6,3,4.1,5.0,4.7,2022,Hóa,Yếu
12,2502151086,Vũ Tấn Khang,6A1,19/07/2010,1,7,7,5,5,5.6,7.2,6.3,2022,Anh,Trung bình
13,2502151088,Phạm Văn Kiệt,6A1,19/07/2010,1,8,10,9,8,8.7,8.9,8.8,2022,Toán,Giỏi
14,2502151088,Phạm Văn Kiệt,6A1,19/07/2010,1,10,10,10,10,8.3,8.6,9.2,2022,Lý,Giỏi
